Date,Transaction Type,No.,Name,Memo/Description,Account,Debit,Credit,Balance
,,,,,,,,
10/08/2011,Cheque Expense,,Transfer Money,,ANZ  Online Saver,"10,000.00  ",,"10,000.00  "
16/08/2011,Journal Entry,50,,Deposit,ANZ  Online Saver,"17,800.00  ",,"27,800.00  "
09/09/2011,Journal Entry,52,,Deposit,ANZ  Online Saver,114.55  ,,"27,914.55  "
25/09/2011,Journal Entry,51,,,ANZ  Online Saver,,"5,000.00  ","22,914.55  "
07/10/2011,Journal Entry,53,,Deposit,ANZ  Online Saver,113.68  ,,"23,028.23  "
01/11/2011,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","8,028.23  "
09/11/2011,Journal Entry,45,,Deposit,ANZ  Online Saver,98.94  ,,"8,127.17  "
14/11/2011,Journal Entry,56,,Deposit,ANZ  Online Saver,"13,000.00  ",,"21,127.17  "
17/11/2011,Journal Entry,57,,Deposit,ANZ  Online Saver,"20,000.00  ",,"41,127.17  "
28/11/2011,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"10,000.00  ","31,127.17  "
05/12/2011,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"21,000.00  ","10,127.17  "
09/01/2012,Journal Entry,59,,Deposit,ANZ  Online Saver,36.90  ,,"10,164.07  "
09/01/2012,Journal Entry,58,,Actually Dec 2011 but missed in Instalment Activity Statement,ANZ  Online Saver,102.43  ,,"10,266.50  "
09/02/2012,Journal Entry,61,,Deposit,ANZ  Online Saver,34.78  ,,"10,301.28  "
16/02/2012,Journal Entry,67,,Deposit,ANZ  Online Saver,"14,000.00  ",,"24,301.28  "
01/04/2012,Journal Entry,68,,Actually Mar 2011 but missed in Instalment Activity Statement,ANZ  Online Saver,66.31  ,,"24,367.59  "
05/04/2012,Journal Entry,69,,Deposit,ANZ  Online Saver,71.91  ,,"24,439.50  "
16/04/2012,Journal Entry,70,,Deposit,ANZ  Online Saver,"9,000.00  ",,"33,439.50  "
02/05/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"30,000.00  ","3,439.50  "
07/05/2012,Journal Entry,50,,Deposit,ANZ  Online Saver,"15,500.00  ",,"18,939.50  "
09/05/2012,Journal Entry,51,,Deposit,ANZ  Online Saver,91.73  ,,"19,031.23  "
15/05/2012,Journal Entry,49,,,ANZ  Online Saver,"9,000.00  ",,"28,031.23  "
16/05/2012,Journal Entry,50,,,ANZ  Online Saver,"15,000.00  ",,"43,031.23  "
17/05/2012,Journal Entry,51,,,ANZ  Online Saver,"10,500.00  ",,"53,531.23  "
22/05/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"20,000.00  ","33,531.23  "
24/05/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"1,000.00  ","32,531.23  "
06/06/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"8,500.00  ","24,031.23  "
08/06/2012,Journal Entry,55,,Deposit,ANZ  Online Saver,96.39  ,,"24,127.62  "
25/06/2012,Journal Entry,54,,Deposit,ANZ  Online Saver,"18,700.00  ",,"42,827.62  "
30/06/2012,Journal Entry,52,,,ANZ  Online Saver,"300,000.00  ",,"342,827.62  "
03/07/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"308,000.00  ","34,827.62  "
09/07/2012,Journal Entry,60,,Deposit,ANZ  Online Saver,169.30  ,,"34,996.92  "
13/07/2012,Journal Entry,61,,Deposit,ANZ  Online Saver,"27,000.00  ",,"61,996.92  "
23/07/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"10,000.00  ","51,996.92  "
27/07/2012,Journal Entry,62,,,ANZ  Online Saver,,"3,000.00  ","48,996.92  "
09/08/2012,Journal Entry,63,,Deposit,ANZ  Online Saver,142.51  ,,"49,139.43  "
17/08/2012,Journal Entry,64,,Deposit,ANZ  Online Saver,"15,000.00  ",,"64,139.43  "
31/08/2012,Journal Entry,65,,Deposit,ANZ  Online Saver,"35,000.00  ",,"99,139.43  "
07/09/2012,Journal Entry,66,,Deposit,ANZ  Online Saver,176.27  ,,"99,315.70  "
17/09/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"70,000.00  ","29,315.70  "
17/09/2012,Journal Entry,69,,Deposit,ANZ  Online Saver,"14,000.00  ",,"43,315.70  "
24/09/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"20,000.00  ","23,315.70  "
09/10/2012,Journal Entry,75,,Deposit,ANZ  Online Saver,140.56  ,,"23,456.26  "
20/10/2012,Journal Entry,54,,,ANZ  Online Saver,"18,500.00  ",,"41,956.26  "
09/11/2012,Journal Entry,59,,Deposit,ANZ  Online Saver,89.93  ,,"42,046.19  "
15/11/2012,Journal Entry,55,,,ANZ  Online Saver,"21,000.00  ",,"63,046.19  "
16/11/2012,Journal Entry,56,,,ANZ  Online Saver,"7,000.00  ",,"70,046.19  "
20/11/2012,Journal Entry,57,,,ANZ  Online Saver,,"9,000.00  ","61,046.19  "
21/11/2012,Journal Entry,57,,,ANZ  Online Saver,,"20,000.00  ","41,046.19  "
28/11/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"10,000.00  ","31,046.19  "
07/12/2012,Journal Entry,66,,Deposit,ANZ  Online Saver,100.27  ,,"31,146.46  "
17/12/2012,Journal Entry,61,,Deposit,ANZ  Online Saver,"15,000.00  ",,"46,146.46  "
18/12/2012,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","31,146.46  "
02/01/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","16,146.46  "
02/01/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","1,146.46  "
03/01/2013,Journal Entry,58,,,ANZ  Online Saver,,"1,000.00  ",146.46  
09/01/2013,Journal Entry,63,,Deposit,ANZ  Online Saver,63.26  ,,209.72  
15/01/2013,Journal Entry,58,,,ANZ  Online Saver,"5,500.00  ",,"5,709.72  "
20/01/2013,Journal Entry,59,,,ANZ  Online Saver,"5,000.00  ",,"10,709.72  "
22/01/2013,Journal Entry,60,,,ANZ  Online Saver,,"1,000.00  ","9,709.72  "
08/02/2013,Journal Entry,64,,Deposit,ANZ  Online Saver,16.20  ,,"9,725.92  "
15/02/2013,Journal Entry,61,,Deposit,ANZ  Online Saver,"24,000.00  ",,"33,725.92  "
08/03/2013,Journal Entry,65,,Deposit,ANZ  Online Saver,58.49  ,,"33,784.41  "
17/03/2013,Journal Entry,62,,Deposit,ANZ  Online Saver,"4,000.00  ",,"37,784.41  "
09/04/2013,Journal Entry,71,,Deposit,ANZ  Online Saver,88.38  ,,"37,872.79  "
18/04/2013,Journal Entry,72,,Deposit,ANZ  Online Saver,"22,000.00  ",,"59,872.79  "
24/04/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","44,872.79  "
26/04/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"14,000.00  ","30,872.79  "
28/04/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,100.00  ,"30,772.79  "
08/05/2013,Journal Entry,74,,Deposit,ANZ  Online Saver,"28,500.00  ",,"59,272.79  "
09/05/2013,Journal Entry,77,,,ANZ  Online Saver,,"55,000.00  ","4,272.79  "
09/05/2013,Journal Entry,78,,Deposit,ANZ  Online Saver,91.81  ,,"4,364.60  "
17/06/2013,Journal Entry,62,,Deposit,ANZ  Online Saver,"12,000.00  ",,"16,364.60  "
28/06/2013,Journal Entry,60,,,ANZ  Online Saver,"270,000.00  ",,"286,364.60  "
05/07/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"275,000.00  ","11,364.60  "
09/07/2013,Journal Entry,63,,Deposit,ANZ  Online Saver,152.75  ,,"11,517.35  "
22/07/2013,Journal Entry,64,,Deposit,ANZ  Online Saver,"16,700.00  ",,"28,217.35  "
04/08/2013,Journal Entry,65,,,ANZ  Online Saver,,"1,000.00  ","27,217.35  "
09/08/2013,Journal Entry,67,,Deposit,ANZ  Online Saver,44.70  ,,"27,262.05  "
20/08/2013,Journal Entry,68,,Deposit,ANZ  Online Saver,"20,000.00  ",,"47,262.05  "
09/09/2013,Journal Entry,70,,Deposit,ANZ  Online Saver,77.31  ,,"47,339.36  "
16/09/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"11,000.00  ","36,339.36  "
16/09/2013,Journal Entry,69,,Deposit,ANZ  Online Saver,"23,000.00  ",,"59,339.36  "
09/10/2013,Journal Entry,63,,Deposit,ANZ  Online Saver,106.04  ,,"59,445.40  "
09/10/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"18,000.00  ","41,445.40  "
09/10/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"4,500.00  ","36,945.40  "
20/10/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,500.00  ,"36,445.40  "
04/11/2013,Journal Entry,65,,Deposit,ANZ  Online Saver,"31,000.00  ",,"67,445.40  "
04/11/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"2,500.00  ","64,945.40  "
08/11/2013,Journal Entry,64,,Deposit,ANZ  Online Saver,76.52  ,,"65,021.92  "
14/11/2013,Journal Entry,70,,Deposit,ANZ  Online Saver,"32,000.00  ",,"97,021.92  "
14/11/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"9,000.00  ","88,021.92  "
09/12/2013,Journal Entry,71,,Deposit,ANZ  Online Saver,159.70  ,,"88,181.62  "
16/12/2013,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"80,000.00  ","8,181.62  "
16/12/2013,Journal Entry,72,,Deposit,ANZ  Online Saver,"20,000.00  ",,"28,181.62  "
09/01/2014,Journal Entry,73,,Deposit,ANZ  Online Saver,79.75  ,,"28,261.37  "
07/02/2014,Journal Entry,84,,Deposit,ANZ  Online Saver,50.52  ,,"28,311.89  "
16/02/2014,Journal Entry,62,,,ANZ  Online Saver,"22,700.00  ",,"51,011.89  "
07/03/2014,Journal Entry,83,,Deposit,ANZ  Online Saver,75.45  ,,"51,087.34  "
11/03/2014,Journal Entry,79,,,ANZ  Online Saver,,"50,000.00  ","1,087.34  "
13/03/2014,Journal Entry,80,,Deposit,ANZ  Online Saver,"22,000.00  ",,"23,087.34  "
09/04/2014,Journal Entry,81,,Deposit,ANZ  Online Saver,51.02  ,,"23,138.36  "
22/04/2014,Journal Entry,82,,Deposit,ANZ  Online Saver,"23,500.00  ",,"46,638.36  "
26/04/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,800.00  ,,"47,438.36  "
26/04/2014,Journal Entry,87,,,ANZ  Online Saver,,"2,000.00  ","45,438.36  "
09/05/2014,Journal Entry,89,,Deposit,ANZ  Online Saver,72.25  ,,"45,510.61  "
11/05/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"20,000.00  ","25,510.61  "
11/05/2014,Journal Entry,88,,,ANZ  Online Saver,,250.00  ,"25,260.61  "
16/05/2014,Journal Entry,90,,Deposit,ANZ  Online Saver,"33,000.00  ",,"58,260.61  "
03/06/2014,Journal Entry,91,,Deposit,ANZ  Online Saver,"357,000.00  ",,"415,260.61  "
09/06/2014,Journal Entry,92,,Deposit,ANZ  Online Saver,231.64  ,,"415,492.25  "
09/06/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"12,500.00  ","402,992.25  "
23/06/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"200,000.00  ","202,992.25  "
23/06/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"200,000.00  ","2,992.25  "
01/07/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"2,200.00  ",792.25  
09/07/2014,Journal Entry,100,,Deposit,ANZ  Online Saver,335.46  ,,"1,127.71  "
28/07/2014,Journal Entry,99,,,ANZ  Online Saver,,"1,127.71  ",0.00  
17/09/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,"27,000.00  ",,"27,000.00  "
09/10/2014,Journal Entry,110,,Deposit,ANZ  Online Saver,36.61  ,,"27,036.61  "
13/10/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"20,000.00  ","7,036.61  "
29/10/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"2,500.00  ","4,536.61  "
31/10/2014,Journal Entry,118,,Deposit,ANZ  Online Saver,11.14  ,,"4,547.75  "
24/11/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"3,500.00  ","1,047.75  "
11/12/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,"562,000.00  ",,"563,047.75  "
11/12/2014,Journal Entry,121,,Deposit,ANZ  Online Saver,"490,000.00  ",,"1,053,047.75  "
15/12/2014,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"1,053,047.75  ",0.00  
31/12/2014,Journal Entry,119,,Deposit,ANZ  Online Saver,242.35  ,,242.35  
31/01/2015,Cheque Expense,,Transfer Money,,ANZ  Online Saver,"124,000.00  ",,"124,242.35  "
27/02/2015,Journal Entry,129,,Deposit,ANZ  Online Saver,184.49  ,,"124,426.84  "
03/03/2015,Journal Entry,124,,,ANZ  Online Saver,,"1,000.00  ","123,426.84  "
31/03/2015,Journal Entry,130,,Deposit,ANZ  Online Saver,200.39  ,,"123,627.23  "
10/04/2015,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"15,000.00  ","108,627.23  "
27/04/2015,Journal Entry,128,,,ANZ  Online Saver,,"1,000.00  ","107,627.23  "
30/04/2015,Journal Entry,64,,Deposit,ANZ  Online Saver,166.39  ,,"107,793.62  "
30/04/2015,Journal Entry,63,,,ANZ  Online Saver,,"2,000.00  ","105,793.62  "
14/05/2015,Journal Entry,63,,,ANZ  Online Saver,,"4,048.79  ","101,744.83  "
14/05/2015,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"2,000.00  ","99,744.83  "
28/05/2015,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"2,000.00  ","97,744.83  "
29/05/2015,Journal Entry,65,,Deposit,ANZ  Online Saver,129.57  ,,"97,874.40  "
02/06/2015,Cheque Expense,,Transfer Money,,ANZ  Online Saver,,"13,200.00  ","84,674.40  "
