Date,Transaction Type,No.,Name,Debit,Credit,transaction_id
2005-03-22,Journal Entry,1,None,800.00,800.00,1
2005-06-30,Journal Entry,2,None,184126.39,184126.39,2
2005-06-30,Journal Entry,4,None,55238.10,55238.10,3
2006-02-15,Journal Entry,3,None,45238.10,45238.10,4
2006-02-15,Journal Entry,43,None,45238.10,45238.10,5
2006-02-28,Journal Entry,44,None,10000.00,10000.00,6
2006-02-28,Journal Entry,5,None,10000.00,10000.00,7
2006-04-02,Journal Entry,6,None,212.00,212.00,8
2006-06-30,Journal Entry,7,None,183000.00,183000.00,9
2006-06-30,Journal Entry,8,None,54900.00,54900.00,10
2006-07-28,Journal Entry,45,None,54900.00,54900.00,11
2006-07-28,Journal Entry,7,None,54900.00,54900.00,12
2006-11-28,Journal Entry,9,None,5000.00,5000.00,13
2006-12-18,Journal Entry,8,None,63.60,63.60,14
2007-01-02,Journal Entry,9,None,14.84,14.84,15
2007-04-02,Journal Entry,10,None,53.84,53.84,16
2007-04-26,Journal Entry,10,None,250.00,250.00,17
2007-04-30,Cheque Expense,0,Australian Taxation Office,20.00,20.00,18
2007-05-24,Cheque Expense,0,ASIC,212.00,212.00,19
2007-06-24,Cheque Expense,0,ASIC,212.00,212.00,20
2007-06-30,Journal Entry,11,None,178000.00,178000.00,21
2007-06-30,Journal Entry,13,None,53346.00,53346.00,22
2007-07-02,Journal Entry,11,None,32.18,32.18,23
2007-07-30,Journal Entry,11,None,53346.00,53346.00,24
2007-07-30,Journal Entry,46,None,53346.00,53346.00,25
2007-10-29,Cheque Expense,0,Australian Taxation Office,9.00,9.00,26
2007-10-29,Journal Entry,12,None,300.00,300.00,27
2007-12-31,Journal Entry,12,None,9.20,9.20,28
2008-01-02,Journal Entry,13,None,42.79,42.79,29
2008-03-25,Journal Entry,14,None,212.00,212.00,30
2008-04-01,Journal Entry,14,None,62.96,62.96,31
2008-06-30,Journal Entry,19,None,15200.00,15200.00,32
2008-06-30,Journal Entry,20,None,16202.00,16202.00,33
2008-07-01,Journal Entry,15,None,68.36,68.36,34
2008-07-28,Journal Entry,18,None,1539.00,1539.00,35
2008-10-01,Journal Entry,16,None,69.12,69.12,36
2008-11-11,Cheque Expense,0,Australian Taxation Office,20.00,20.00,37
2009-01-02,Journal Entry,17,None,46.64,46.64,38
2009-01-12,Journal Entry,22,None,1552.63,1552.63,39
2009-01-31,Journal Entry,23,None,2000.00,2000.00,40
2009-03-03,Cheque Expense,0,Australian Taxation Office,20.00,20.00,41
2009-04-01,Journal Entry,24,None,21.20,21.20,42
2009-05-23,Journal Entry,23,None,212.00,212.00,43
2009-06-30,Journal Entry,24,None,346284.32,346284.32,44
2009-07-01,Journal Entry,25,None,11.07,11.07,45
2009-10-01,Journal Entry,25,None,10.94,10.94,46
2010-01-04,Journal Entry,26,None,17.10,17.10,47
2010-02-26,Journal Entry,33,None,30349.79,30349.79,48
2010-04-01,Journal Entry,27,None,20.52,20.52,49
2010-05-23,Journal Entry,30,None,212.00,212.00,50
2010-06-23,Journal Entry,31,None,58569.66,58569.66,51
2010-06-23,Journal Entry,32,None,318053.94,318053.94,52
2010-06-29,Cheque Expense,0,Transfer Money,5000.00,5000.00,53
2010-06-30,Journal Entry,27,None,13267.49,13267.49,54
2010-06-30,Journal Entry,33,None,26773.26,26773.26,55
2010-06-30,Journal Entry,35,None,1.34,1.34,56
2010-06-30,Journal Entry,36,None,0.34,0.34,57
2010-07-01,Cheque Expense,0,Commbank,1.00,1.00,58
2010-07-01,Journal Entry,34,None,277.97,277.97,59
2010-07-04,Journal Entry,33,None,300000.00,300000.00,60
2010-07-08,Journal Entry,37,None,1000.00,1000.00,61
2010-07-12,Journal Entry,38,None,76000.00,76000.00,62
2010-07-21,Cheque Expense,0,Transfer Money,16000.00,16000.00,63
2010-07-28,Cheque Expense,0,Australian Taxation Office,15959.00,15959.00,64
2010-07-31,Journal Entry,39,None,216.35,216.35,65
2010-07-31,Journal Entry,40,None,54.76,54.76,66
2010-08-02,Cheque Expense,0,Commbank,1.00,1.00,67
2010-08-06,Cheque Expense,0,ANZ Bank,2.50,2.50,68
2010-08-06,Journal Entry,41,None,5010.00,5010.00,69
2010-08-16,Journal Entry,42,None,16000.00,16000.00,70
2010-08-17,Cheque Expense,0,Transfer Money,94.56,94.56,71
2010-08-18,Cheque Expense,0,Cash Withdrawal,215.78,215.78,72
2010-08-18,Journal Entry,43,None,215.78,215.78,73
2010-08-31,Journal Entry,47,None,275.80,275.80,74
2010-08-31,Journal Entry,48,None,70.36,70.36,75
2010-09-08,Journal Entry,44,None,7.48,7.48,76
2010-09-20,Journal Entry,52,None,25000.00,25000.00,77
2010-09-27,Journal Entry,34,None,16750.05,16750.05,78
2010-09-27,Journal Entry,49,None,55000.00,55000.00,79
2010-09-30,Journal Entry,50,None,312.60,312.60,80
2010-09-30,Journal Entry,51,None,79.75,79.75,81
2010-10-08,Journal Entry,53,None,14.52,14.52,82
2010-10-18,Journal Entry,55,None,18000.00,18000.00,83
2010-10-28,Cheque Expense,0,Australian Taxation Office,200.00,200.00,84
2010-10-31,Journal Entry,67,None,507.77,507.77,85
2010-10-31,Journal Entry,68,None,129.53,129.53,86
2010-11-03,Journal Entry,35,None,21000.00,21000.00,87
2010-11-03,Journal Entry,37,None,5773.26,5773.26,88
2010-11-08,Journal Entry,54,None,8.99,8.99,89
2010-11-14,Journal Entry,36,None,5000.00,5000.00,90
2010-11-15,Cheque Expense,0,Transfer Money,25000.00,25000.00,91
2010-11-23,Journal Entry,58,None,3992.30,3992.30,92
2010-11-30,Journal Entry,61,None,555.86,555.86,93
2010-11-30,Journal Entry,63,None,140.56,140.56,94
2010-12-08,Journal Entry,56,None,5.14,5.14,95
2010-12-31,Journal Entry,62,None,629.96,629.96,96
2010-12-31,Journal Entry,64,None,152.41,152.41,97
2011-01-07,Journal Entry,57,None,3.98,3.98,98
2011-01-31,Journal Entry,65,None,633.28,633.28,99
2011-02-08,Journal Entry,59,None,4.24,4.24,100
2011-02-28,Journal Entry,66,None,574.42,574.42,101
2011-03-08,Journal Entry,60,None,3.72,3.72,102
2011-03-20,Cheque Expense,0,Australian Taxation Office,639.00,639.00,103
2011-03-31,Journal Entry,69,None,638.41,638.41,104
2011-04-08,Journal Entry,70,None,3.95,3.95,105
2011-04-30,Cheque Expense,0,Australian Taxation Office,554.00,554.00,106
2011-04-30,Journal Entry,72,None,620.44,620.44,107
2011-05-06,Journal Entry,71,None,3.20,3.20,108
2011-05-14,Journal Entry,38,None,20000.00,20000.00,109
2011-05-24,Cheque Expense,0,ASIC,218.00,218.00,110
2011-05-30,Cheque Expense,0,Transfer Money,60000.00,60000.00,111
2011-05-30,Journal Entry,40,None,40000.00,40000.00,112
2011-05-31,Journal Entry,42,None,668.41,668.41,113
2011-06-08,Journal Entry,43,None,6.70,6.70,114
2011-06-28,Journal Entry,42,None,180000.00,180000.00,115
2011-06-30,Journal Entry,41,None,15036.20,15036.20,116
2011-06-30,Journal Entry,44,None,872.31,872.31,117
2011-07-01,Cheque Expense,0,Transfer Money,75000.00,75000.00,118
2011-07-03,Cheque Expense,0,Transfer Money,257254.31,257254.31,119
2011-07-08,Journal Entry,45,None,38.99,38.99,120
